date,year,month,soi
 1930m4,1930,4,-4
 1930m5,1930,5,2
 1930m6,1930,6,-6
 1930m7,1930,7,-4
 1930m8,1930,8,-2
 1930m9,1930,9,-7
1930m10,1930,10,4
1930m11,1930,11,2
1930m12,1930,12,-1
 1931m1,1931,1,7
 1931m2,1931,2,-15
 1931m3,1931,3,6
 1931m4,1931,4,9
 1931m5,1931,5,13
 1931m6,1931,6,19
 1931m7,1931,7,9
 1931m8,1931,8,0
 1931m9,1931,9,5
1931m10,1931,10,-13
1931m11,1931,11,-5
1931m12,1931,12,5
 1932m1,1932,1,2
 1932m2,1932,2,-4
 1932m3,1932,3,-3
 1932m4,1932,4,-2
 1932m5,1932,5,3
 1932m6,1932,6,-5
 1932m7,1932,7,-5
 1932m8,1932,8,-7
 1932m9,1932,9,-9
1932m10,1932,10,-4
1932m11,1932,11,-5
1932m12,1932,12,3
 1933m1,1933,1,-11
 1933m2,1933,2,5
 1933m3,1933,3,-2
 1933m4,1933,4,4
 1933m5,1933,5,6
 1933m6,1933,6,-4
 1933m7,1933,7,4
 1933m8,1933,8,-1
 1933m9,1933,9,2
1933m10,1933,10,4
1933m11,1933,11,7
1933m12,1933,12,8
 1934m1,1934,1,7
 1934m2,1934,2,0
 1934m3,1934,3,0
 1934m4,1934,4,6
 1934m5,1934,5,-7
 1934m6,1934,6,11
 1934m7,1934,7,3
 1934m8,1934,8,-22
 1934m9,1934,9,-6
1934m10,1934,10,4
1934m11,1934,11,13
1934m12,1934,12,-2
 1935m1,1935,1,7
 1935m2,1935,2,-5
 1935m3,1935,3,12
 1935m4,1935,4,3
 1935m5,1935,5,-7
 1935m6,1935,6,-2
 1935m7,1935,7,0
 1935m8,1935,8,2
 1935m9,1935,9,6
1935m10,1935,10,7
1935m11,1935,11,4
1935m12,1935,12,-4
 1936m1,1936,1,-2
 1936m2,1936,2,1
 1936m3,1936,3,2
 1936m4,1936,4,23
 1936m5,1936,5,4
 1936m6,1936,6,-2
 1936m7,1936,7,4
 1936m8,1936,8,-9
 1936m9,1936,9,3
1936m10,1936,10,0
1936m11,1936,11,-14
1936m12,1936,12,1
 1937m1,1937,1,9
 1937m2,1937,2,-5
 1937m3,1937,3,6
 1937m4,1937,4,2
 1937m5,1937,5,0
 1937m6,1937,6,3
 1937m7,1937,7,-6
 1937m8,1937,8,3
 1937m9,1937,9,1
1937m10,1937,10,-3
1937m11,1937,11,-2
1937m12,1937,12,7
 1938m1,1938,1,8
 1938m2,1938,2,3
 1938m3,1938,3,-4
 1938m4,1938,4,4
 1938m5,1938,5,13
 1938m6,1938,6,18
 1938m7,1938,7,19
 1938m8,1938,8,13
 1938m9,1938,9,8
1938m10,1938,10,13
1938m11,1938,11,2
1938m12,1938,12,14
 1939m1,1939,1,17
 1939m2,1939,2,8
 1939m3,1939,3,12
 1939m4,1939,4,9
 1939m5,1939,5,-1
 1939m6,1939,6,-2
 1939m7,1939,7,8
 1939m8,1939,8,-1
 1939m9,1939,9,-9
1939m10,1939,10,-15
1939m11,1939,11,-8
1939m12,1939,12,-9
 1940m1,1940,1,0
 1940m2,1940,2,-4
 1940m3,1940,3,-11
 1940m4,1940,4,-10
 1940m5,1940,5,-15
 1940m6,1940,6,-19
 1940m7,1940,7,-15
 1940m8,1940,8,-19
 1940m9,1940,9,-20
1940m10,1940,10,-18
1940m11,1940,11,-7
1940m12,1940,12,-29
 1941m1,1941,1,-10
 1941m2,1941,2,-15
 1941m3,1941,3,-11
 1941m4,1941,4,-11
 1941m5,1941,5,-7
 1941m6,1941,6,-14
 1941m7,1941,7,-21
 1941m8,1941,8,-19
 1941m9,1941,9,-8
1941m10,1941,10,-20
1941m11,1941,11,-9
1941m12,1941,12,-9
 1942m1,1942,1,-13
 1942m2,1942,2,-4
 1942m3,1942,3,-6
 1942m4,1942,4,-6
 1942m5,1942,5,5
 1942m6,1942,6,8
 1942m7,1942,7,-1
 1942m8,1942,8,4
 1942m9,1942,9,9
1942m10,1942,10,9
1942m11,1942,11,-4
1942m12,1942,12,14
 1943m1,1943,1,9
 1943m2,1943,2,11
 1943m3,1943,3,4
 1943m4,1943,4,14
 1943m5,1943,5,3
 1943m6,1943,6,-8
 1943m7,1943,7,3
 1943m8,1943,8,8
 1943m9,1943,9,6
1943m10,1943,10,9
1943m11,1943,11,4
1943m12,1943,12,-9
 1944m1,1944,1,-8
 1944m2,1944,2,4
 1944m3,1944,3,6
 1944m4,1944,4,-6
 1944m5,1944,5,-1
 1944m6,1944,6,-4
 1944m7,1944,7,-9
 1944m8,1944,8,3
 1944m9,1944,9,3
1944m10,1944,10,-9
1944m11,1944,11,-7
1944m12,1944,12,4
 1945m1,1945,1,5
 1945m2,1945,2,6
 1945m3,1945,3,13
 1945m4,1945,4,-7
 1945m5,1945,5,0
 1945m6,1945,6,8
 1945m7,1945,7,4
 1945m8,1945,8,12
 1945m9,1945,9,9
1945m10,1945,10,2
1945m11,1945,11,-3
1945m12,1945,12,7
 1946m1,1946,1,-3
 1946m2,1946,2,4
 1946m3,1946,3,-2
 1946m4,1946,4,-10
 1946m5,1946,5,-11
 1946m6,1946,6,-10
 1946m7,1946,7,-10
 1946m8,1946,8,-4
 1946m9,1946,9,-16
1946m10,1946,10,-12
1946m11,1946,11,-1
1946m12,1946,12,-6
 1947m1,1947,1,-5
 1947m2,1947,2,-4
 1947m3,1947,3,12
 1947m4,1947,4,-5
 1947m5,1947,5,-14
 1947m6,1947,6,3
 1947m7,1947,7,9
 1947m8,1947,8,7
 1947m9,1947,9,12
1947m10,1947,10,-2
1947m11,1947,11,9
1947m12,1947,12,5
 1948m1,1948,1,-3
 1948m2,1948,2,-3
